SKILL                             | PRIMARY     | SECONDARY   | KEYWORD
Hands-on Experimental Lab Work    | physics     | engineering | lab
Computational Modeling            | physics     | programming | 
Non-Linear Optics                 | physics     | engineering | 
LabView                           | physics     | engineering | lab
Circuit Design/Fabrication        | physics     | engineering | lab
Matlab                            | physics     | analytics   | lab
Stochastic Methods                | physics     | analytics   | 
Python                            | physics     | programming | 
Image Processing                  | physics     | programming | lab
Non-Linear Differential Equations | physics     | programming | 
Numerical Methods                 | physics     | programming | lab
Stress Testing                    | physics     | engineering | lab
Mathematica                       | physics     |             | lab
Numerical Analysis                | physics     | programming | lab
C++                               | programming | physics     | software
Java                              | programming | physics     | software
Unix/Linux                        | programming | physics     | systems
Server Administration             | programming |             | systems
SQL                               | programming |             | database
Regression Testing                | programming |             | software
Bash                              | programming | physics     | systems
Version Control                   | programming |             | software
Awk                               | programming |             | systems
Haskell                           | programming |             | 
Artificial Neural Networks        | analytics   | physics     | 
Hidden Markov Processes           | analytics   | programming | 
Bayesian Probability Networks     | analytics   | programming | 
Machine Learning                  | analytics   | programming | 
jQuery                            | web         |             | 
Ruby                              | web         | programming | 
Javascript                        | web         |             | 
Web Design (HTML, CSS)            | web         |             | 
LAMP Servers                      | web         |             | systems
Microsft Excel                    | literacy    |             | 
